date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:07	5198/5198	---M--	200	added ('OK')	text/html	etag:W/%22d42c82c7204b6446dd84f2b9e0ea7eec%22	https://robo.im/	C:/My%20Web%20Sites/MyFirstPage/robo.im/index.html	(from )
22:44:09	1791/1791	---M-Z	404	error ('Not%20Found')	text/html	etag:%22d42c82c7204b6446dd84f2b9e0ea7eec%22	https://robo.im/robots.txt		(from )
22:44:10	8296/8296	---M-Z	200	added ('OK')	application/javascript	etag:%220db3654ac310523b1f6626c8958ac710%22	https://robo.im/modernizer.js	C:/My%20Web%20Sites/MyFirstPage/robo.im/modernizer.js	(from https://robo.im/)
22:44:12	5198/5198	---M-Z	200	added ('OK')	text/html	etag:%22d42c82c7204b6446dd84f2b9e0ea7eec%22	https://robo.im/index.html	C:/My%20Web%20Sites/MyFirstPage/robo.im/index-2.html	(from https://robo.im/)
22:44:12	3883/3883	---M-Z	200	added ('OK')	text/css	etag:%2229959ccf86e40342232d4bae063dc54e%22	https://robo.im/style.css	C:/My%20Web%20Sites/MyFirstPage/robo.im/style.css	(from https://robo.im/)
22:44:13	3059/3059	---M-Z	200	added ('OK')	image/png	etag:%22605292060f2b2672f8b43a01a435d422%22	https://robo.im/192.png	C:/My%20Web%20Sites/MyFirstPage/robo.im/192.png	(from https://robo.im/)
22:44:13	2923/2923	---M-Z	200	added ('OK')	image/png	etag:%226f52778acec464abf5d38064cc58bff9%22	https://robo.im/180.png	C:/My%20Web%20Sites/MyFirstPage/robo.im/180.png	(from https://robo.im/)
22:44:15	95930/95930	---M-Z	200	added ('OK')	application/javascript	etag:%22311c721ad8c4024e747aa83a75720fba%22	https://robo.im/jquery.js	C:/My%20Web%20Sites/MyFirstPage/robo.im/jquery.js	(from https://robo.im/)
22:44:16	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%229b9b5d7782f533737561c0455ea9ea11%22	https://robo.im/jquery-mig.js	C:/My%20Web%20Sites/MyFirstPage/robo.im/jquery-mig.js	(from https://robo.im/)
22:44:17	3851/3851	---M-Z	200	added ('OK')	application/javascript	etag:%22535a113a560be5e9a1407b0f17dde835%22	https://robo.im/typed.js	C:/My%20Web%20Sites/MyFirstPage/robo.im/typed.js	(from https://robo.im/)
22:44:18	1570654/1570654	---M-Z	200	added ('OK')	image/jpeg	etag:%22fed2cf15e068b92ceba2a9e4aac7a92c%22	https://robo.im/main.jpg	C:/My%20Web%20Sites/MyFirstPage/robo.im/main.jpg	(from https://robo.im/)
22:44:19	619/619	---M-Z	200	added ('OK')	application/javascript	etag:%222486d40d0f0f4e85d419360b17cd1982%22	https://robo.im/classie.js	C:/My%20Web%20Sites/MyFirstPage/robo.im/classie.js	(from https://robo.im/)
22:44:20	550/550	---M-Z	200	added ('OK')	application/javascript	etag:%2296363e4ea01bd6b2bf882f8870a1bbf5%22	https://robo.im/raf.js	C:/My%20Web%20Sites/MyFirstPage/robo.im/raf.js	(from https://robo.im/)
22:44:22	24774/24774	---M-Z	200	added ('OK')	application/javascript	etag:%22d030d33b396711935b285b3e17524bf1%22	https://robo.im/tween.js	C:/My%20Web%20Sites/MyFirstPage/robo.im/tween.js	(from https://robo.im/)
22:44:22	4813/4813	---M-Z	200	added ('OK')	application/javascript	etag:%220e2629e1e87fdd1dfcbd328666ac0a9a%22	https://robo.im/easepack.js	C:/My%20Web%20Sites/MyFirstPage/robo.im/easepack.js	(from https://robo.im/)
22:44:23	2286/2286	---M-Z	200	added ('OK')	application/javascript	etag:%2294482ea208f36b6b5e332dd0bd73e937%22	https://robo.im/canvas.js	C:/My%20Web%20Sites/MyFirstPage/robo.im/canvas.js	(from https://robo.im/)
22:44:23	2046/2046	---M-Z	200	added ('OK')	application/javascript	etag:%223158225862bb492d487c81219bc1a7f4%22	https://robo.im/main.js	C:/My%20Web%20Sites/MyFirstPage/robo.im/main.js	(from https://robo.im/)
22:44:25	9204/9204	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ef9170e96539865dd9c77a91a04e19bd%22	https://robo.im/fontello-3837060.eot	C:/My%20Web%20Sites/MyFirstPage/robo.im/fontello-3837060.eot	(from https://robo.im/style.css)
22:44:25	6088/6088	---M-Z	200	added ('OK')	font/woff	etag:%22cdca03cf71acc5036a89018d522ad935%22	https://robo.im/fontello-3837060.woff	C:/My%20Web%20Sites/MyFirstPage/robo.im/fontello-3837060.woff	(from https://robo.im/style.css)
22:44:26	9036/9036	---M-Z	200	added ('OK')	font/ttf	etag:%2285f2b7184a20fc1a2db5a7260ba0082b%22	https://robo.im/fontello-3837060.ttf	C:/My%20Web%20Sites/MyFirstPage/robo.im/fontello-3837060.ttf	(from https://robo.im/style.css)
22:44:27	10222/10222	---M-Z	200	added ('OK')	image/svg+xml	etag:%22209c4b52f73001c9b0e5e47d38fe78de%22	https://robo.im/fontello-3837060.svg	C:/My%20Web%20Sites/MyFirstPage/robo.im/fontello-3837060.svg	(from https://robo.im/style.css)
